x_m,y_m,forward_from_s1_m,lateral_from_s1_m,in_signal_region,in_bearing_region,sampled_signal_margin_m,sampled_min_target_distance_m,sampled_max_target_distance_m
450.0,-200.0,450.0,-200.0,True,True,409.7860085734717,192.1651066124384,1073.5806475458073
500.0,-200.0,500.0,-200.0,True,True,456.17700370789294,191.31447280401557,1024.756949322276
550.0,-200.0,550.0,-200.0,True,True,419.4306747625544,190.4680184270212,976.0523569889679
600.0,-200.0,600.0,-200.0,True,True,372.2573636759249,189.62579945008224,927.4856343810085
650.0,-200.0,650.0,-200.0,True,True,324.67719310574375,188.7878725580078,879.0796325604205
700.0,-200.0,700.0,-200.0,True,True,276.77045859286557,187.95429515497494,830.8624427557104
750.0,-200.0,750.0,-200.0,True,True,228.5979999919556,187.12512536737907,782.868952750975
800.0,-200.0,800.0,-200.0,True,True,180.20665917022234,186.30042204632895,819.7933408297777
850.0,-200.0,850.0,-200.0,True,True,131.63302819528826,185.480244769766,868.3669718047117
900.0,-200.0,900.0,-200.0,True,True,82.90607145520687,184.6646538441869,917.0939285447931
950.0,-200.0,950.0,-200.0,True,True,34.048992015558156,183.80703397849422,965.9510079844418
50.0,-150.0,50.0,-150.0,True,True,35.71354504813871,149.11476972872754,1460.153025204093
100.0,-150.0,100.0,-150.0,True,True,84.93873915787015,148.2345045420665,1410.5311961853542
150.0,-150.0,150.0,-150.0,True,True,134.07688011605978,147.35929341830294,1360.937049907713
200.0,-150.0,200.0,-150.0,True,True,183.11258337991842,146.48922694512424,1311.3737271315645
250.0,-150.0,250.0,-150.0,True,True,232.0266578927202,145.6243973362561,1261.8448599611415
300.0,-150.0,300.0,-150.0,True,True,280.7948685397663,144.76489844725666,1212.3546712945742
350.0,-150.0,350.0,-150.0,True,True,329.3861907697295,143.91082579038422,1162.9080992964136
400.0,-150.0,400.0,-150.0,True,True,377.7603017241705,143.06227654844994,1113.5109545076866
450.0,-150.0,450.0,-150.0,True,True,425.8638978433845,142.2193495875617,1064.1701199564106
500.0,-150.0,500.0,-150.0,True,True,473.6251650404952,141.38214546866251,1014.8938085373583
550.0,-150.0,550.0,-150.0,True,True,434.71068009230964,140.55076645776103,965.691897556817
600.0,-150.0,600.0,-150.0,True,True,386.3615956818412,139.72531653474672,916.5763685620027
650.0,-150.0,650.0,-150.0,True,True,337.7672861398547,138.90590140067954,867.5618927809879
700.0,-150.0,700.0,-150.0,True,True,288.97802891963306,138.09262848343684,818.6666209179123
750.0,-150.0,750.0,-150.0,True,True,240.03136945565507,137.28560694159736,769.9132643386364
800.0,-150.0,800.0,-150.0,True,True,190.955875453085,136.48494766643714,809.044124546915
850.0,-150.0,850.0,-150.0,True,True,141.77364785487907,135.6907632819068,858.2263521451209
900.0,-150.0,900.0,-150.0,True,True,92.502039909313,134.839189391654,907.497960090687
950.0,-150.0,950.0,-150.0,True,True,43.1548591223368,133.89264473115034,956.8451408776632
50.0,-100.0,50.0,-100.0,True,True,43.01254359657264,99.11600731746515,1454.9671798483398
100.0,-100.0,100.0,-100.0,True,True,92.6262356884589,98.23952894553528,1405.1622300771014
150.0,-100.0,150.0,-100.0,True,True,142.1959510758993,97.37076780355892,1355.3716432162344
200.0,-100.0,200.0,-100.0,True,True,191.7137680303315,96.5099322981711,1305.5970625097536
250.0,-100.0,250.0,-100.0,True,True,241.1697525007305,95.6572364020078,1255.840391145913
300.0,-100.0,300.0,-100.0,True,True,290.5512804295581,94.81289972504112,1206.1038456256333
350.0,-100.0,350.0,-100.0,True,True,339.8420687635453,93.97714757748746,1156.3900228004234
400.0,-100.0,400.0,-100.0,True,True,389.0207592978227,93.15021102316447,1106.7019848323152
450.0,-100.0,450.0,-100.0,True,True,438.05879750320753,92.33232692209346,1057.0433679046514
500.0,-100.0,500.0,-100.0,True,True,486.9171659328638,91.52373796106491,1007.4185227752318
550.0,-100.0,550.0,-100.0,True,True,445.88513014291425,90.72469267080527,957.8326985596455
600.0,-100.0,600.0,-100.0,True,True,396.63993747582856,89.93544542830436,908.2922860123138
650.0,-100.0,650.0,-100.0,True,True,347.27996728949006,89.15625644278713,858.8051439231701
700.0,-100.0,700.0,-100.0,True,True,297.82942446009156,88.38739172373843,809.3810435316108
750.0,-100.0,750.0,-100.0,True,True,248.3061838710637,87.62912302932291,760.0322835431015
800.0,-100.0,800.0,-100.0,True,True,198.72372476222642,86.88172779347731,801.2762752377736
850.0,-100.0,850.0,-100.0,True,True,149.09239907534186,86.04470219220755,850.9076009246581
